contrato_nombre;nombre;tipo;estado;horometro_inicial
AMERICANA;XRD50U-002;PERFORADORA;OPERATIVO;
AMERICANA;XRD50USS-001;PERFORADORA;OPERATIVO;
ANDAYCHAGUA;XRD80USS-010;PERFORADORA;OPERATIVO;
ANDAYCHAGUA;XRD90U-017;PERFORADORA;OPERATIVO;
CATALINA HUANCA;XRD100U-001;PERFORADORA;OPERATIVO;
CATALINA HUANCA;XRD50USS-004;PERFORADORA;OPERATIVO;
CATALINA HUANCA;XRD50U-003;PERFORADORA;OPERATIVO;
CATALINA HUANCA;XRD90U-005;PERFORADORA;OPERATIVO;
CATALINA HUANCA;XRD125UFRD-001;PERFORADORA;OPERATIVO;
ANDAYCHAGUA;LF90D ST-0002;PERFORADORA;OPERATIVO;
CHUNGAR;XRD80USS-007;PERFORADORA;OPERATIVO;
CHUNGAR;XRD90U-021;PERFORADORA;OPERATIVO;
CHUNGAR;XRD90UTR-001;PERFORADORA;OPERATIVO;
CHUNGAR;XRD90USS-003;PERFORADORA;OPERATIVO;
CHUNGAR;LM90U-001;PERFORADORA;OPERATIVO;
CHUNGAR;LM110U-001;PERFORADORA;OPERATIVO;
COBRIZA;XRD80USS-006;PERFORADORA;OPERATIVO;
COBRIZA;XRD50UFRD-001;PERFORADORA;OPERATIVO;
COBRIZA;XRD50USS-002;PERFORADORA;OPERATIVO;
COBRIZA;XRD90U-019;PERFORADORA;OPERATIVO;
COBRIZA;XLM75UFRD-003;PERFORADORA;OPERATIVO;
COLQUIJIRCA;XRD80WDTH-001;PERFORADORA;OPERATIVO;
COLQUIJIRCA;XRD100WDTH-001;PERFORADORA;OPERATIVO;
COLQUISIRI;XRD80USS-012;PERFORADORA;OPERATIVO;
CONDESTABLE;XRD80ITH-001;PERFORADORA;OPERATIVO;
CONDESTABLE;XRD120ST-001;PERFORADORA;OPERATIVO;
CONDESTABLE;XLM75UFRD-002;PERFORADORA;OPERATIVO;
INMACULADA;CS140ST-001;PERFORADORA;OPERATIVO;
INMACULADA;CT20ST-003;PERFORADORA;OPERATIVO;
INMACULADA;CT20ST-002;PERFORADORA;OPERATIVO;
CHUNGAR;XRD120U-001;PERFORADORA;OPERATIVO;
INMACULADA;XRD80USS-008;PERFORADORA;OPERATIVO;
INMACULADA;XRD90U-016;PERFORADORA;OPERATIVO;
MOROCOCHA;XRD80USS-011;PERFORADORA;OPERATIVO;
MOROCOCHA;XRD90USS-005;PERFORADORA;OPERATIVO;
RAURA;XRD90USS-001;PERFORADORA;OPERATIVO;
RAURA;XRD90USS-004;PERFORADORA;OPERATIVO;
RAURA;XRD150UBT-001;PERFORADORA;OPERATIVO;
RAURA;XRD150U-005;PERFORADORA;OPERATIVO;
ROMINA;DE710ST-002;PERFORADORA;OPERATIVO;
ROMINA;XRD150U-002;PERFORADORA;OPERATIVO;
ROMINA;XRD150U-007;PERFORADORA;OPERATIVO;
ROMINA;XRD150USS-001;PERFORADORA;OPERATIVO;
SAN CRISTOBAL;XRD90U-004;PERFORADORA;OPERATIVO;
SAN CRISTOBAL;XRD90U-010;PERFORADORA;OPERATIVO;
SAN CRISTOBAL;XRD90U-023;PERFORADORA;OPERATIVO;
YAULIYACU;XRD50USS-003;PERFORADORA;OPERATIVO;
YAULIYACU;XRD50USS-001;PERFORADORA;OPERATIVO;
ANDAYCHAGUA;DE710ST-001;PERFORADORA;OPERATIVO;
YAULIYACU;XRD125USS-001;PERFORADORA;OPERATIVO;
MOROCOCHA;XRD150USS-002;PERFORADORA;OPERATIVO;
CUCULI;XRD100ST-001;PERFORADORA;OPERATIVO;
