CTR;SERVICIO;CATEGORÍA;UBICACIÓN;CARGO;NIVEL;CANTIDAD
TICLIO;DDH;LÍNEA DE MANDO;GENERAL;RESIDENTE;;1
TICLIO;DDH;LÍNEA DE MANDO;SUPERFICIE;INGENIERO DE SEGURIDAD;;1
TICLIO;DDH;LÍNEA DE MANDO;SUPERFICIE;SUPERVISOR OPERATIVO;I;2
TICLIO;DDH;LÍNEA DE MANDO;GENERAL;ASISTENTE ADMINISTRATIVO;;1
TICLIO;DDH;LÍNEA DE MANDO;GENERAL;ASISTENTE LOGÍSTICO;;1
TICLIO;DDH;LÍNEA DE MANDO;GENERAL;TÉCNICO MECÁNICO;I;1
TICLIO;DDH;OPERATIVO;SUPERFICIE;PERFORISTA;I;3
TICLIO;DDH;OPERATIVO;SUPERFICIE;AYUDANTE;I;6
TICLIO;DDH;CONDUCTORES;SUPERFICIE;CONDUCTOR;;3
TICLIO;DDH;CONDUCTORES;SUPERFICIE;CONDUCTOR;I;1
TICLIO;DDH;VACACIONISTA;SUPERFICIE;PERFORISTA;I;1
TICLIO;SGEO;LÍNEA DE MANDO;SUPERFICIE;SUPERVISOR DE MUESTREO;;3
TICLIO;SGEO;OPERATIVO;SUPERFICIE;MAESTRO MUESTRERO;I;1
TICLIO;SGEO;OPERATIVO;SUPERFICIE;MAESTRO MUESTRERO;;1
TICLIO;SGEO;OPERATIVO;SUPERFICIE;AYUDANTE MUESTRERO;;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;RESIDENTE;;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;ASISTENTE DE RESIDENTE;;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;SUPERVISOR DE SEGURIDAD;;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;ADMINISTRADOR;;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;ASISTENTE ADMINISTRATIVO;;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;LOGÍSTICO;;2
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;TÉCNICO MECÁNICO;;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;TÉCNICO MECÁNICO;I;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;TÉCNICO MECÁNICO;II;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;TÉCNICO ELECTRICISTA;SENIOR;1
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;TÉCNICO DE MEDICIÓN;;3
INMACULADA;DDH;LÍNEA DE MANDO;GENERAL;PERSONAL DE LIMPIEZA;;3
INMACULADA;DDH;LÍNEA DE MANDO;SUPERFICIE;INGENIERO DE SEGURIDAD;SENIOR;1
INMACULADA;DDH;LÍNEA DE MANDO;SUPERFICIE;INGENIERO DE SEGURIDAD;;2
INMACULADA;DDH;LÍNEA DE MANDO;SUPERFICIE;SUPERVISOR OPERATIVO;I;1
INMACULADA;DDH;LÍNEA DE MANDO;SUPERFICIE;SUPERVISOR OPERATIVO;II;2
INMACULADA;DDH;OPERATIVO;SUPERFICIE;PERFORISTA;I;4
INMACULADA;DDH;OPERATIVO;SUPERFICIE;PERFORISTA;II;2
INMACULADA;DDH;OPERATIVO;SUPERFICIE;AYUDANTE;I;12
INMACULADA;DDH;CONDUCTORES;SUPERFICIE;CONDUCTOR MÚLTIPLE;;5
INMACULADA;DDH;CONDUCTORES;SUPERFICIE;CONDUCTOR MECÁNICO;;1
INMACULADA;DDH;OPERATIVO;SUPERFICIE;OPERADOR CISTERNA DE AGUA (MÚLTIPLE);;3
INMACULADA;DDH;OPERATIVO;SUPERFICIE;OPERADOR CISTERNA COMBUSTIBLE;;3
INMACULADA;DDH;LÍNEA DE MANDO;MINA;INGENIERO DE SEGURIDAD;SENIOR;2
INMACULADA;DDH;LÍNEA DE MANDO;MINA;INGENIERO DE SEGURIDAD;;1
INMACULADA;DDH;LÍNEA DE MANDO;MINA;SUPERVISOR GENERAL;;1
INMACULADA;DDH;LÍNEA DE MANDO;MINA;SUPERVISOR OPERATIVO;I;2
INMACULADA;DDH;OPERATIVO;MINA;PERFORISTA;I;5
INMACULADA;DDH;OPERATIVO;MINA;PERFORISTA;II;1
INMACULADA;DDH;OPERATIVO;MINA;AYUDANTE;I;9
INMACULADA;DDH;OPERATIVO;MINA;AYUDANTE;II;3
INMACULADA;DDH;CONDUCTORES;MINA;CONDUCTOR MÚLTIPLE;;6
AMERICANA;DDH;LÍNEA DE MANDO;GENERAL;RESIDENTE;;1
AMERICANA;DDH;LÍNEA DE MANDO;GENERAL;ASISTENTE RESIDENTE;;1
AMERICANA;DDH;LÍNEA DE MANDO;MINA;INGENIERO DE SEGURIDAD;;1
AMERICANA;DDH;LÍNEA DE MANDO;MINA;INSPECTOR DE SEGURIDAD;;1
AMERICANA;DDH;LÍNEA DE MANDO;MINA;SUPERVISOR OPERATIVO;I;2
